index,x,y
0,100.0000071644346,200.00024858293216
150,93.27659010893528,195.5360152543525
252,88.7532962109208,188.89147259564209
356,84.26157080753129,182.22523633760142
490,79.77800254570587,175.5045895067152
611,75.38853722158257,168.77069599748063
733,71.02158960912857,162.0219124545012
914,68.2749432250738,154.4822212344053
1099,67.09085278610578,146.56669984105486
1249,66.03146440773125,138.62613218722834
1371,65.0017715386227,130.58829710609393
1481,63.11019085642229,122.80395506518494
1589,59.826742195585666,115.5083254589519
1696,56.5339656222952,108.20662064352194
1798,53.26196415249663,100.87445509125314
1899,49.976055331845856,93.53822325942576
2030,46.49126749021485,86.32427170618718
2129,41.49453047546609,80.04888566714408
2229,36.802243936999986,73.56151060179695
2332,32.236063703217155,66.94581690774646
2432,27.628566555416228,60.309135069929766
2550,23.043637811896332,53.70645678972289
2655,18.43682293960717,47.06930783194241
2755,13.85582531725791,40.46390057965789
2860,9.276678634339873,33.857224849674196
2963,4.675771959308406,27.215970570401225
3073,0.09733511930187433,20.608795968378388
3184,-4.500279643596912,13.965253379708656
3286,-9.0964824145141,7.320746330778093
3387,-13.690504656785606,0.6747326107644653
3498,-18.283240041404838,-5.972167964609696
3605,-22.875138625264526,-12.619660222674668
3715,-27.462667684323918,-19.270152718819986
3831,-32.050158573435226,-25.920686106169512
3947,-36.6128790632917,-32.538718769850675
4050,-41.16994727060481,-39.1606589969478
4155,-45.750359023438165,-45.816068134594445
4256,-50.33050772864979,-52.47165688739912
4361,-54.885852810105035,-59.09476710763079
4501,-60.805127766801206,-64.495663105624
4655,-68.5394977432569,-66.59082973344033
4835,-76.41678996083857,-68.2709862598623
5060,-84.2845714277127,-69.8217732276824
5262,-91.76326704197146,-72.72697146050592
5424,-98.50961039318565,-77.06059632191855
5617,-105.10342528400042,-81.62238796131103
5819,-111.67061194300646,-86.2267840099083
6031,-118.23109220375693,-90.84617376779093
6223,-124.7945399408398,-95.47920194519969
6410,-131.3401026627801,-100.10490081511531
6555,-136.0699355403587,-106.69343145593317
6660,-139.03064143224793,-114.2526428273051
6763,-141.89749325290052,-121.79171132720543
6867,-144.71434049236268,-129.3411426183022
6972,-147.52697199261002,-136.90699499525292
7079,-150.29268384048441,-144.44283824890724
7188,-152.83092901088696,-152.08405945032675
7314,-153.6050252557967,-160.06319315016387
7444,-152.5013801691873,-167.987568351379
7572,-151.88343680695618,-176.0021141171886
7682,-151.24379937728014,-184.01502336427342
7811,-150.61104094628638,-192.0284868530648
